Random state seeds for kfold splits with timestamps

2025-01-05 11:36:03.382483, rs = 6
2025-01-06 11:16:17.275442, rs = 865
2025-01-06 11:20:35.290156, rs = 64
2025-01-06 11:21:23.222062, rs = 524
2025-01-06 11:28:25.367629, rs = 605
2025-01-06 11:34:10.570113, rs = 17
2025-01-06 11:34:24.730768, rs = 678
2025-01-06 11:38:26.456613, rs = 619
2025-01-06 11:38:52.153842, rs = 849
2025-01-06 13:09:03.151940, rs = 899
2025-01-07 11:19:30.386549, rs = 944
2025-01-07 11:20:10.508788, rs = 791
2025-01-07 11:32:19.473747, rs = 418
2025-01-07 11:36:00.365455, rs = 393
2025-01-07 11:41:51.381683, rs = 830
2025-01-07 11:46:44.085728, rs = 188
2025-01-07 11:50:32.215285, rs = 335
2025-01-07 11:59:14.651223, rs = 901
2025-01-07 11:59:51.768427, rs = 590
2025-01-07 12:04:26.833464, rs = 629
2025-01-07 12:11:57.319941, rs = 710
2025-01-07 12:14:55.719310, rs = 55
2025-01-07 12:15:19.162899, rs = 909
2025-01-07 12:18:19.335307, rs = 769
2025-01-07 12:20:52.749392, rs = 633
2025-01-07 12:24:13.503936, rs = 564
2025-01-07 12:27:03.260032, rs = 173
2025-01-07 12:38:05.952881, rs = 418
2025-01-07 12:40:13.015851, rs = 950
2025-01-07 12:46:53.234471, rs = 676
